timestamp,green,ir,red
1629370423003,23853,288721,212616
1629370423013,23863,288729,212634
1629370423023,23867,288743,212616
1629370423033,23874,288741,212612
1629370423043,23873,288775,212633
1629370423053,23875,288799,212615
1629370423063,23880,288769,212602
1629370423073,23876,288799,212611
1629370423083,23879,288754,212601
1629370423093,23882,288779,212602
1629370423103,23886,288824,212604
1629370423113,23885,288819,212601
1629370423123,23889,288818,212614
1629370423133,23893,288790,212600
1629370423143,23893,288836,212583
1629370423153,23891,288846,212583
1629370423163,23900,288830,212591
1629370423173,23902,288829,212589
1629370423183,23905,288871,212596
1629370423193,23910,288886,212612
1629370423203,23911,288886,212593
1629370423213,23916,288916,212572
1629370423223,23931,288893,212594
1629370423233,23931,288902,212573
1629370423243,23924,288930,212592
1629370423253,23930,288944,212592
1629370423263,23932,288941,212610
1629370423273,23953,288939,212620
1629370423283,23950,288994,212640
1629370423293,23968,289043,212656
1629370423303,23973,289044,212654
1629370423313,23979,289045,212665
1629370423323,23986,289080,212652
1629370423333,23994,289051,212635
1629370423343,24014,289088,212667
1629370423353,24013,289059,212677
1629370423363,24023,289078,212678
1629370423373,24036,289081,212684
1629370423383,24037,289066,212708
1629370423393,24039,289083,212714
1629370423403,24039,289084,212710
1629370423413,24036,289065,212717
1629370423423,24049,289068,212719
1629370423433,24045,289054,212748
1629370423443,24046,289065,212731
1629370423453,24037,289041,212736
1629370423463,24042,289051,212755
1629370423473,24038,289054,212732
1629370423483,24033,289013,212748
1629370423493,24033,289042,212759
1629370423503,24027,288990,212737
1629370423513,24022,288995,212725
1629370423523,24020,288977,212737
1629370423533,24012,288961,212735
1629370423543,24017,288920,212740
1629370423553,24004,288915,212718
1629370423563,23996,288952,212742
1629370423573,23997,288928,212720
1629370423583,23995,288913,212723
1629370423593,23983,288911,212706
1629370423603,23969,288901,212713
1629370423613,23967,288905,212736
1629370423623,23969,288897,212721
1629370423633,23960,288888,212732
1629370423643,23963,288893,212724
1629370423653,23958,288895,212728
1629370423663,23956,288864,212729
1629370423673,23953,288920,212731
1629370423683,23953,288917,212763
1629370423693,23952,288941,212765
1629370423703,23956,288928,212789
1629370423713,23960,288956,212792
1629370423723,23963,288978,212827
1629370423733,23962,288980,212844
1629370423743,23967,288977,212844
1629370423753,23979,289026,212876
1629370423763,23978,289016,212864
1629370423773,23964,289049,212862
1629370423783,23984,289017,212897
1629370423793,23975,289012,212920
1629370423803,23983,289043,212938
1629370423813,23987,289052,212936
1629370423823,23989,289100,212941
1629370423833,23992,289067,212921
1629370423843,23985,289100,212928
1629370423853,23987,289110,212957
1629370423863,23998,289139,212970
1629370423873,23996,289103,212945
1629370423883,24002,289141,212979
1629370423893,24003,289146,212963
1629370423903,24012,289144,212991
1629370423913,24006,289148,212980
1629370423923,24008,289148,212978
1629370423933,24017,289182,213003
1629370423943,24023,289192,213001
1629370423953,24022,289217,213005
1629370423963,24028,289256,212978
1629370423973,24035,289230,213001
1629370423983,24036,289261,212995
1629370423993,24043,289248,212995
1629370424003,24054,289270,213016
1629370424013,24056,289267,213030
1629370424023,24062,289288,213033
1629370424033,24061,289324,213023
1629370424043,24072,289349,213047
1629370424053,24083,289360,213049
1629370424063,24090,289385,213076
1629370424073,24095,289396,213062
1629370424083,24102,289404,213061
1629370424093,24108,289414,213095
1629370424103,24125,289396,213110
1629370424113,24128,289470,213113
1629370424123,24137,289470,213123
1629370424133,24137,289457,213106
1629370424143,24152,289499,213158
1629370424153,24161,289521,213113
1629370424163,24166,289490,213163
1629370424173,24172,289554,213134
1629370424183,24176,289545,213159
1629370424193,24181,289578,213173
1629370424203,24192,289557,213176
1629370424213,24201,289587,213192
1629370424223,24210,289644,213174
1629370424233,24216,289653,213163
1629370424243,24210,289618,213177
1629370424253,24233,289640,213183
1629370424263,24244,289693,213194
1629370424273,24242,289711,213189
1629370424283,24246,289717,213215
1629370424293,24254,289693,213214
1629370424303,24262,289691,213201
1629370424313,24272,289717,213208
1629370424323,24277,289783,213230
1629370424333,24288,289768,213232
1629370424343,24299,289796,213264
1629370424353,24307,289808,213272
1629370424363,24322,289797,213276
1629370424373,24336,289855,213304
1629370424383,24351,289836,213328
1629370424393,24357,289828,213318
1629370424403,24364,289810,213334
1629370424413,24371,289813,213368
1629370424423,24378,289816,213379
1629370424433,24384,289834,213400
1629370424443,24386,289850,213412
1629370424453,24394,289866,213433
1629370424463,24404,289856,213431
