timestamp,ax,ay,az
1630588374915,0.044835,-0.478606,-0.883097
1630588374924,0.042638999999999996,-0.47238399999999997,-0.880474
1630588374934,0.037759,-0.463661,-0.87718
1630588374943,0.030255999999999998,-0.455487,-0.879742
1630588374953,0.025193,-0.44834999999999997,-0.882853
1630588374963,0.021471999999999998,-0.44121299999999997,-0.8845
1630588374972,0.019886,-0.438407,-0.8845609999999999
1630588374982,0.017934,-0.43663799999999997,-0.88267
1630588374991,0.014945,-0.433954,-0.88328
1630588375001,0.014213,-0.434076,-0.882304
1630588375011,0.01342,-0.434259,-0.884744
1630588375020,0.01281,-0.434442,-0.882975
1630588375030,0.013847,-0.43676,-0.8854759999999999
1630588375039,0.012017,-0.439505,-0.884683
1630588375049,0.012261,-0.44469,-0.88938
1630588375059,0.015433,-0.450302,-0.891637
1630588375068,0.01647,-0.45505999999999996,-0.8906
1630588375078,0.017385,-0.460306,-0.890966
1630588375087,0.020252,-0.46341699999999997,-0.88938
1630588375097,0.020374,-0.462868,-0.885232
1630588375107,0.017873,-0.464088,-0.88572
1630588375116,0.017934,-0.46421,-0.890173
1630588375126,0.017506999999999998,-0.46341699999999997,-0.892491
1630588375135,0.015006,-0.462563,-0.8939549999999999
1630588375145,0.015311,-0.464393,-0.895053
1630588375155,0.015433,-0.46372199999999997,-0.893772
1630588375164,0.016226,-0.465125,-0.891027
1630588375174,0.016042999999999998,-0.46463699999999997,-0.889319
1630588375183,0.012688,-0.460611,-0.8857809999999999
1630588375193,0.007442,-0.457866,-0.881572
1630588375203,0.001952,-0.455792,-0.8781559999999999
1630588375212,-6.1e-05,-0.452742,-0.878522
1630588169000,-0.10553,-0.46128199999999997,-0.885964
1630588169009,-0.107177,-0.46616199999999997,-0.887977
1630588169019,-0.10729899999999999,-0.47238399999999997,-0.898164
1630588169029,-0.10729899999999999,-0.47970399999999996,-0.899506
1630588169038,-0.105225,-0.48379099999999997,-0.897371
1630588169048,-0.104859,-0.482144,-0.8954799999999999
1630588169057,-0.102114,-0.47763,-0.896273
1630588169067,-0.09881999999999999,-0.470493,-0.897737
1630588169077,-0.093879,-0.46463699999999997,-0.8954799999999999
1630588169086,-0.091805,-0.46177,-0.891637
1630588169096,-0.090585,-0.459391,-0.888465
1630588169105,-0.09204899999999999,-0.453474,-0.8842559999999999
1630588169115,-0.094184,-0.44712999999999997,-0.8836459999999999
1630588169125,-0.094428,-0.442677,-0.88633
1630588169134,-0.094611,-0.4392,-0.88877
1630588169144,-0.092598,-0.435357,-0.890661
1630588169153,-0.09272,-0.432185,-0.889685
1630588169163,-0.093696,-0.429135,-0.892735
1630588169173,-0.095526,-0.427793,-0.894626
1630588169182,-0.097722,-0.42401099999999997,-0.895602
1630588169192,-0.099552,-0.420839,-0.894809
1630588169201,-0.10187,-0.416996,-0.8960899999999999
1630588169211,-0.105652,-0.41260399999999997,-0.896517
1630588169221,-0.107116,-0.408761,-0.897554
1630588169230,-0.108763,-0.40302699999999997,-0.903349
1630588169240,-0.109068,-0.395097,-0.910608
1630588169249,-0.110898,-0.388509,-0.918355
1630588169259,-0.109678,-0.382775,-0.922442
1630588169269,-0.111508,-0.37881,-0.924028
1630588169278,-0.11102,-0.376004,-0.923357
1630588169288,-0.111081,-0.373503,-0.922137
1630588169297,-0.112423,-0.37088,-0.923662
1630588169307,-0.112118,-0.367342,-0.92537
1630588169317,-0.114009,-0.36453599999999997,-0.924638
1630588169326,-0.113033,-0.362462,-0.9219539999999999
1630588169336,-0.111752,-0.35556899999999997,-0.9243939999999999
1630588169345,-0.10931199999999999,-0.350018,-0.92842
1630588169355,-0.107726,-0.34385699999999997,-0.933117
1630588169365,-0.109068,-0.338733,-0.93391
1630588169374,-0.10858,-0.335134,-0.932751
1630588169384,-0.108092,-0.332938,-0.926163
1630588169393,-0.10729899999999999,-0.32970499999999997,-0.922503
1630588169403,-0.105713,-0.324032,-0.920307
1630588169413,-0.10492,-0.321104,-0.922625
1630588169422,-0.1037,-0.321714,-0.929518
1630588169432,-0.101565,-0.324459,-0.930738
1630588169441,-0.102358,-0.3233,-0.924272
1630588169451,-0.10376099999999999,-0.32073799999999997,-0.912499
1630588169461,-0.10467599999999999,-0.31842,-0.8991399999999999
1630588169470,-0.106445,-0.316224,-0.888648
1630588169480,-0.109556,-0.312991,-0.8876109999999999
1630588169489,-0.111447,-0.311588,-0.889075
1630588169499,-0.114741,-0.307562,-0.890966
1630588169509,-0.117181,-0.30536599999999997,-0.892613
1630588169518,-0.120902,-0.302804,-0.895541
1630588169528,-0.12364699999999999,-0.300364,-0.900604
1630588169537,-0.126331,-0.296887,-0.904203
1630588169547,-0.129442,-0.29036,-0.905118
1630588169557,-0.133041,-0.283711,-0.903532
1630588169566,-0.137433,-0.278038,-0.901153
1630588169576,-0.140117,-0.27388999999999997,-0.897066
1630588169585,-0.144509,-0.271877,-0.896456
1630588169595,-0.146339,-0.273524,-0.896883
1630588169605,-0.148169,-0.274317,-0.898042
1630588169614,-0.152134,-0.27419499999999997,-0.905484
1630588169624,-0.15420799999999998,-0.270413,-0.909266
1630588169633,-0.15884399999999999,-0.264069,-0.912194
1630588169643,-0.163053,-0.263154,-0.912133
1630588169653,-0.16836,-0.266387,-0.909937
1630588169662,-0.174338,-0.27083999999999997,-0.907558
1630588169672,-0.179096,-0.275537,-0.909937
1630588169681,-0.180926,-0.277855,-0.913536
1630588169691,-0.18178,-0.277306,-0.913536
1630588169701,-0.18239,-0.277001,-0.912743
1630588169710,-0.185379,-0.280539,-0.905667
1630588169720,-0.189771,-0.285419,-0.910852
1630588169729,-0.195627,-0.291336,-0.9298839999999999
1630588169739,-0.202093,-0.2989,-0.941474
1630588169749,-0.208071,-0.305244,-0.944829
1630588169758,-0.206668,-0.303597,-0.934825
1630588169768,-0.203618,-0.295667,-0.915732
1630588169777,-0.203313,-0.287005,-0.9104249999999999
1630588169787,-0.205387,-0.276574,-0.918172
1630588169797,-0.207339,-0.267485,-0.92293
1630588169806,-0.210267,-0.259372,-0.921893
1630588169816,-0.209108,-0.250771,-0.909266
1630588169825,-0.202642,-0.248087,-0.866749
1630588169835,-0.210023,-0.258762,-0.894138
1630588169845,-0.205204,-0.265228,-0.911218
1630588169854,-0.205814,-0.270901,-0.927261
1630588169864,-0.20166599999999998,-0.276025,-0.928908
1630588169873,-0.201422,-0.277672,-0.921588
1630588169883,-0.205265,-0.27358499999999997,-0.925736
1630588169893,-0.203984,-0.266265,-0.938729
1630588169902,-0.200629,-0.24888,-0.928725
1630588169912,-0.20014099999999999,-0.231068,-0.914512
1630588169921,-0.20496,-0.222406,-0.9073749999999999
1630588169931,-0.20813199999999998,-0.221918,-0.914024
1630588169941,-0.211487,-0.229787,-0.924638
1630588169950,-0.214354,-0.24387799999999998,-0.9359839999999999
1630588169960,-0.214842,-0.261141,-0.949221
1630588169969,-0.206241,-0.264557,-0.943121
1630588169979,-0.200568,-0.268156,-0.92415
1630588169989,-0.197823,-0.28182,-0.902617
1630588169998,-0.194407,-0.291153,-0.894443
1630588170008,-0.196969,-0.300547,-0.888099
1630588170017,-0.202154,-0.300547,-0.8997499999999999
1630588170027,-0.20874199999999998,-0.299876,-0.908351
1630588170037,-0.212036,-0.298351,-0.918721
1630588170046,-0.21398799999999998,-0.29731399999999997,-0.920856
1630588170056,-0.216184,-0.295667,-0.92598
1630588170065,-0.214476,-0.291336,-0.929091
1630588170075,-0.216977,-0.291519,-0.939522
1630588170085,-0.222101,-0.29212899999999997,-0.952515
1630588170094,-0.228506,-0.293105,-0.9600179999999999
1630588170104,-0.23399599999999998,-0.303658,-0.9591029999999999
1630588170113,-0.231068,-0.311954,-0.956236
1630588170123,-0.234728,-0.327997,-0.946537
1630588170133,-0.232105,-0.345626,-0.951661
1630588170142,-0.229238,-0.367647,-0.951356
