timestamp,green,ir,red
1630070107735,57393,57805,57798
1630070107745,58353,90583,90578
1630070107755,58372,123375,123370
1630070107765,58388,156124,156137
1630070107775,58392,188908,188938
1630070107785,58378,221703,221705
1630070107795,58358,254303,254484
1630070107805,58304,287062,287228
1630070107815,58247,319651,319854
1630070107825,58176,331964,352652
1630070107835,58105,331876,385234
1630070107845,58040,331868,401605
1630070107855,57974,331878,401484
1630070107865,57920,331798,401452
1630070107875,57849,331734,401408
1630070107885,57805,331693,401423
1630070107895,57740,331658,401377
1630070107905,57685,331620,401338
1630070107915,57625,331555,401330
1630070107925,57574,331545,401322
1630070107935,57512,331508,401299
1630070107945,57480,331496,401257
1630070107955,57418,331445,401221
1630070107965,57366,331403,401218
1630070107975,57330,331392,401163
1630070107985,57297,331372,401177
1630070107995,57248,331360,401136
1630070108005,57229,331385,401178
1630070108015,57217,331332,401148
1630070108025,57194,331300,401171
1630070108035,57196,331323,401108
1630070108045,57168,331322,401080
1630070108055,57159,331331,401087
1630070108065,57133,331262,401054
1630070108075,57120,331261,401067
1630070108085,57112,331258,401094
1630070108095,57095,331305,401060
1630070108105,57092,331258,401011
1630070108115,57077,331253,401001
1630070108125,57067,331245,400986
1630070108135,57070,331288,401002
1630070108145,57074,331242,401036
1630070108155,57067,331275,400980
1630070108165,57063,331224,400988
1630070108175,57075,331250,401013
1630070108185,57072,331266,401031
1630070108195,57082,331221,400997
1630070108205,57100,331217,401029
1630070108215,57100,331243,401034
1630070108225,57131,331244,401008
1630070108235,57144,331310,401024
1630070108245,57170,331287,401018
1630070108255,57181,331298,401013
1630070108265,57192,331313,401029
1630070108275,57227,331320,401029
1630070108285,57227,331332,401001
1630070108295,57254,331275,401003
1630070108305,57271,331338,401057
1630070108315,57308,331367,401015
1630070108325,57334,331358,401091
1630070108335,57352,331351,401108
1630070108345,57382,331364,401058
1630070108355,57408,331422,401092
1630070108365,57432,331399,401114
1630070108375,57452,331389,401139
1630070108385,57490,331422,401049
1630070108395,57506,331451,401109
1630070108405,57538,331456,401131
1630070108415,57581,331522,401126
1630070108425,57594,331460,401158
1630070108435,57611,331455,401112
1630070108445,57598,331412,401131
1630070108455,57565,331424,401066
1630070108465,57519,331354,401079
1630070108475,57469,331274,401018
1630070108485,57406,331234,400958
1630070108495,57338,331175,400979
1630070108505,57289,331097,400940
1630070108515,57234,331129,400972
1630070108525,57176,331055,400930
1630070108535,57134,331064,400922
1630070108545,57073,331024,400906
1630070108555,57049,331003,400883
1630070108565,56998,330979,400840
1630070108575,56949,330947,400809
1630070108585,56893,330931,400767
1630070108595,56859,330914,400813
1630070108605,56810,330885,400728
1630070108615,56769,330881,400775
1630070108625,56734,330798,400761
1630070108635,56693,330806,400750
1630070108645,56668,330823,400746
1630070108655,56659,330828,400698
1630070108665,56650,330825,400732
1630070108675,56651,330819,400700
1630070108685,56640,330839,400696
1630070108695,56635,330843,400729
1630070108705,56623,330776,400715
1630070108715,56625,330774,400695
1630070108725,56617,330796,400731
1630070108735,56612,330807,400638
1630070108745,56607,330790,400699
1630070108755,56599,330776,400727
1630070108765,56590,330829,400658
1630070108775,56589,330760,400685
1630070108785,56587,330810,400663
1630070108795,56586,330782,400702
1630070108805,56600,330841,400663
1630070108815,56608,330817,400696
1630070108825,56618,330799,400723
1630070108835,56622,330787,400719
1630070108845,56634,330820,400691
1630070108855,56648,330841,400745
1630070108865,56667,330884,400702
1630070108875,56688,330874,400722
1630070108885,56701,330879,400743
1630070108895,56717,330888,400747
1630070108905,56741,330907,400764
1630070108915,56767,330943,400746
1630070108925,56798,330859,400791
1630070108935,56818,330951,400755
1630070108945,56836,330957,400774
1630070108955,56864,330974,400773
1630070108965,56883,331030,400792
1630070108975,56909,331011,400823
1630070108985,56942,330975,400830
1630070108995,56974,331046,400839
1630070109005,56991,331008,400790
1630070109015,57019,331053,400802
1630070109025,57066,331088,400858
1630070109035,57084,331138,400860
1630070109045,57110,331135,400865
1630070109055,57137,331138,400878
1630070109065,57180,331177,400917
